starName	title	thumbnail	description	threadlink
Larnax	Trilite Conglomerate		Trilite Conglomerate thus, seeing its only path to surviving being Shilo, used a considerable amount of its available liquid assets to acquire as much supplies, equipment, and private military personnel as possible along with enough ships to carry themselves and be secure as they sailed through the stars towards their final hope. Arriving more or less peacefully in the system, they quickly established themselves in the holdings they had on planet and waged a war of dominance on the planet, putting down rivaling powers on the planet until finally a semblance of order came out of the fires of chaos that had gripped the planet for decades. With the First Interstellar War having finished years ago, merchant ships had also begun to ply the routes once again. The primary reason they never really came back to Shilo was that the planet was locked in a conflict between powers. While a single governing body has yet to establish itself, the world is now stable enough that merchant ships has started to return in force. Certainly the struggle between the Trilite Conglomerate and the other powers on Shilo still exists, but they are confident enough they won't simply be accosted. It will take plenty of effort for the Conglomerate to emerge victorious, but they can see the light at the end of the tunnel now, a new Golden Age, they believe, is upon them.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69242452
New Sweden	Republic of New Sweden		Despite the increase in quality of life, education, healthcare and so on the facts of life are that New Sweden is still a cold and hostile world and its citizens still inhabit vast underground cities and subsist on a diet of vat grown meats, algae and fungus. They are a grim and fatalistic people with a fiercely independent spirit that borders on hardliner with a sense of communal obligation born of the very requirements of survival on their frozen home.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69355477
Mycore	The Mycore Receiverate		The world of Mycore is distinctive as perhaps the most biodiverse planet ever discovered by mankind, and in the early days of expansion quickly attracted adventurous colonists and scientific expeditions from most Old Earth cultures. As a result, despite never hosting a particularly large population, Mycore at the time of the Disconnect hosted a human population almost as diverse as its native biota. These settlers were unified under a loose planetary confederacy, itself dominated by corporate and scientific interests united in their concern to avoid regulation. These concerns had quickly built a commercial biotech empire on the natural genomic riches of the planet and thus, when the Disconnect threw the already-indebted government into total bankruptcy, an emerging corporate conglomerate known as MyCorp stood ready to underwrite and subsequently assume functional control of the anemic Mycoran state.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69636612
Atreus	The Neo-Hellenic Empire		Ruled by Strategos Iskander and supported by some of the largest banking conglomerates in the Holy Russian Federation this small empire is locked in a cold war rivalry with the communist Kronstadt Union. The largest state by population it's historically limiting lack of wealth is now being reversed by the HRF financing. Has a small fleet of FACs and a couple of destroyers. Mostly inhabits orbitals.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69765729
Atreus	The Achaemenid Imperium		A small enclave settled by Iranian monarchists during the collapse this mostly pacifist state has the best living conditions of any of the states on Atreus. It is currently drifting towards becoming a Neo-Hellenic client state as a result of a marriage between Strategos Iskander's son and the daughter of the Achaemenid Emperor. Functionally defenseless.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69765729
Atreus	The Kronstadt Union		The primary rival of Iskander this communist 'republic' controls the majority of the accessible mineral wealth on Atreus. As a result they have decent living conditions and a relatively large military-industrial complex. No warships but they posses a large number of space capable bombers and fighters. Almost entirely based on the ground in a number of vast bunker cities.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69765729
Atreus	The Mountain		he smallest but most enigmatic of the powers on Atreus. The Mountain is the remnant of some multinational research group. It's population having no discernible culture or ethnicity. Nobody knows what they are researching or really anything significant about their capabilities. Based out of a large mountain in the northern hemisphere of Atreus.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-69765729
Tempest	United Council Cities of Tempest		The Mercenary wars some thirty years ago were the apotheosis of this trend, when the South Shore Autonomous region, at the time the planet's only real multi-city state imported large numbers of off-world mercenaries to drive away Accelerationist nomads away from their border areas. This led to a brutal guerrilla war which eventually horrified the SSAR's public enough to cut their own mercenary troops free, but also caused a political crisis in many of the other Beta Continental cities as to how to deal with both maraudings off worlder and SSAR troops, and the flood of refugees created by the conflict. This in turn, resulted in the anarcho-socialist "Councils of Workers and Intellectuals" which had been one of the more successful intercity groups to take power, forming a state around a combination of direct, computer-aided democracy and worker and expert controlled councils. The UCCT became a major force in the defeat of the mercenaries, and in the post-war negotiation and skirmishing was able to muscle the SSAR back to ts pre-war limits.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-70029984
Midgard	Midgard Enclave		An artificial Island on Midgar, serves as an independent city-state that handles trade with Midgar and beyond. Great Beaches. Known for blitzball.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-70282382
Real	REAL Enclave		On a non-artificial Island. Known to be a great posting and much desired by UCCT military and ship crews.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-70282382
Old Stockton	Old Stockton Enclave		Also built on an Island. Heavily defended to prevent vampires	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-70282382
Autera	The Auterian Starcraft Collective		To promote the nation's militarial might, expand the empire, and to spread the view on the art of shipbuilding.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-70340846
Elysium	Unified Principalities of Ghandi		A sprawling patchwork of princedoms on the southern continent of Ghandi on Elysium the Unified Principalities are descendants from a mixture of Indian and Vietnamese colonization efforts and Corporate missions that were shattered during the disconnect. Instead of falling to the barbarism that threatened them, a minor official named Agni Talwar managed to stabilize the various disparate colonies that would listen to him and then conquer those that ignored him. Talwar managed to transform the nominally corporate system into a feudal one that involved the colonial elite and laid the groundwork to stabilize the entire continent which ultimately coalesced into the Unified Principalities of Ghandi.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Elysium	New Transylvania Commonwealth		The Commonwealth was formed from a number of small eastern European colonies that moved away from earth in an attempt to escape persecution. Founded primarily on the rich Eastern Continent of Silesia the various city-states and early colonies formed a commonwealth early on in their history to keep out corporate influence and build a better future for themselves. The disconnect hit the early Commonwealth only moderately hard and they spent more time fending off corporate takeover attempts and incursions by their neighbours which forged the Commonwealth into a more concrete whole that withstood the test of time.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Elysium	Star Kingdom of Elysium		The Star Kingdom of Elysium was born out of a number of disparate libertarian UK and US colonies that sought to build their own free society unlike what had been destroyed in Sol by the grinding crush of the nations there. Kept afloat by serious corporate involvement and a number of wealthy of worlds using the place as a vacation spot the Disconnect pulled the rug out from under the shaky foundation that colonies had been built upon. In the chaos that followed the wealthy Edwards family seized power and eventually dominion over a third of the globe through a mixture of skilled PMC's that eventually was folded into house units and surprising tactical brilliance present in the Edwards family. In the ensuing years the Edwards rebuilt the city-states of the Northern Continent into an industrial and scientific powerhouse through the use of more questionable economic interactions with various corporations and off-world assets. Recently King Adam Edwards the III has reformed the former Kingdom of Armstrong into the Star Kingdom of Elysium, expanding the technologically advanced and capable Armstrong fleet and began making moves to secure domination over Elysium and it's many jump points.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Europa	Evropa/Europa		Europa was originally settled by the European Federation as an attempt at its colonial presence in the Verge. The colony has been remarkable in becoming something of an anomaly in the area by transitioning after disconnect into a moderate, democratic welfare state on the basis of equal voting rights for all adults, with a continuance of colonial charter guaranteeing individual rights.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Oblivia	Republic of Oblivia		Oblivia is a marginally habitable Earthlike world orbiting a dwarf star of about 0.3 solar masses, founded in the first wave mostly by then-libertarian volunteers from Earth who expected that distance would keep them out from under the thumb of national or corporate interests. For a time it worked, with Oblivia holding the title of furthest-flung colony for two or three generations. With little support its development was slow, though it did eventually become a fully independent statelet living up to modest expectations, whirling alone out in the deep frontier. It enjoyed some praise as a model colony, ruling a vast ocean of untamed worlds. As extra-solar colonization continued though, Oblivia's isolation was eroded. Colonies with more resources soon appeared nearby, outgrowing and outcompeting the mature world. Trade was naturally well-received, but with commerce and population came both the unwanted attention of raiders and the United Nations. There was no longer any defence in distance alone, and the world underwent several upheavals as violence and outside politics were soon on its doorstep.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Outer Oblivia	The Supreme Ascendancy of Outer Oblivia		Founded by exiles and separatists (depending who is doing the telling) from Oblivia around 2470, the Supreme Ascendency was largely considered a joke by both its neighbors and its inhabitants for at least its first hundred years. Refusing to take even itself seriously, Outer Oblivia didn't command enough respect to be reigned in or supported by its parent world, which seemed to delight in its missteps and struggles. Its early years were marked by turmoil with radical shifts in government as it experimented with one form after another. Generations later, though, it found a footing and things changed. Where Oblivia spurned the slow encroachment of civilization on what was then the Frontier, the Supreme Ascendency embraced it. Situated in orbit around a superjovian world with one hundred moons and a metallic asteroid ring, Outer Oblivia had a preponderance of resources and ideal shipbuilding sites, and soon became an important industrial center and a nexus for growth as colonies expanded both around it and into the untamed expanse beyond it.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Dis	Autonomous State of Dis		Dis was a prosperous mid-stage colony settled by a multinational cabal of liberterian organizations across the political spectrum. Previously quite icy, orbital mirrors built by the United Nations and risky terraforming practices quickly brought it up to a hothouse climate comparable to Tempest. The original government was a confederation of assorted city-states, with each settlement self-governing and having a seat to discuss global issues. This relative disunity during the Disconnect era made them easy pickings for an aspiring hegemon in the form of their neighbor Praetoria.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
New Bangkok	Republic of New Bangkok		The New Bangkok colony was a major national prestige project for Thailand, then a rising regional power, on a mostly oceanic world with unstable techtonics that resulted in surface settlement via artificial floating islands. An ecologically minded government opted for floating cities with efficient, self-contained designs and minimal impact industry. Disconnect brought with it many hardships, though the self-sufficient New Bangkokians wanted for little. Limited resource exploitation did however leave them with a skeleton police fleet, making them easy pickings for invasion by their larger neighbor in Praetoria.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Gelica	Gelica		Some say that power corrupts the man. Others, that it merely reveals the corruption that was there all along, suppressed by social norms and consequences that would fall on all those too weak to resist. Whatever is the case, it’s hard to imagine a society more enamored with the concept power over another than that of Gelica’s orbital elite. It’s unclear what the origins of the people manning the large space station are, some saying that they are the remnants of planet’s government that chose to isolate itself from planetside woes during the Disconnect, while others claim that a group of particularly deviant businessmen and other equally rotten people of means decided to settle in the broken and isolated world’s orbit to enact their sick games. They refuse to say either way. Ultimately there is little difference for Gelica’s inhabitants, however, as they remain little more than ████████████████████.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Leitner’s End	Leitner's End Station		An unremarkable Jovian planet orbiting a red dwarf, Leitner's End's was the disappointing final stop of a survey mission that believed its system to be a cul-de-sac with no route further into the Verge—this was later proven false by a later expedition—it has become a favorite topic of conspiracy theorists and the superstitious across human space. They say that the automated beacons left behind in the system have a mysteriously higher rate of failure than anywhere else in known space, that passing ships have vanished, and that certain topographical features on the surface of one of the moons of Leitner's End are artificial in nature—built by ancient astronauts or alien starfarers. There's not really any evidence to support these claims or stories, but they have persisted for decades and become part of the mythology of the spaceways.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Midway	The Midway Administrative Zone		Settled under United Nations auspices as Midway, the desert planet now better known as Nothing originally possessed several large UN military facilities and served as a major nexus of that organization's activities in the Verge. During the Mutiny, its garrison departed to join the fighting elsewhere and destroyed most of what they couldn't carry away with them by the detonation of several atomic charges. Several waves of prospectors have since searched the planet for various treasures rumored to have been hidden away by UN commanders who died before they could return, with no success—leading to the planet's new name.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Old Stockton	Old Stockton		The barren Mars-like world of New Stockton was home to a large scale mining operation during the height of the pre-Disconnect colonial era that was almost entirely abandoned during the wartime collapse. It was resettled by refugees and would-be freedom fighters from Dis and New Bangkok—the former searching for a safe harbor and the latter looking for resources and a base from which to launch efforts to liberate their worlds from the forces of the Ascendancy. Neither group has been particularly successful, as Stockton remains tremendously poor and what passes for the liberation forces are rumored to spend more time in recent years carrying out acts of piracy on unlucky shipping than actually taking any real action against their transhuman enemies.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Ten Thousand Dawns Colony	Ten Thousand Dawns Colony		A spectre haunting the Verge, the spectre… of communism.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Torgatu	Torgatu Freehold		The planetary government had turned into little more than a corrupt oligarchical arbiter between various unscrupulous pirates, mercenaries and other shady entities, whose continuing existence and power is based entirely on no other pirate being willing to trade its relative neutrality for total control over the world by another pirate. The populace hasn’t benefited from this arrangement, however, as its government is both incapable and uninterested in preserving law and order, preferring to keep their customers happy, rather than upset them by prosecuting a predictably dangerous crew member. Better for the oligarchs to keep an eye shut and remain rich, rather than risk losing it all over a single unimportant Torgatu resident. At least in their eyes.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Cyran	NIGHTINGALE		"Once the major economic powerhouse of its sector, Cryan was a major industrialised world with large archeologies across the world's surface. A center of science and technology. People flocked to the world to see the magnificent ruins of the world, of a grand and great civilisation there before man. Its massive population was reliant upon food exports from outside. Sadly the world suffered from the outbreak of a virulent disease spread throughout the population of the world. The UN quarantined the world and while efforts were made to develop a vaccine they failed. Rumors from the scientists whispered that the plague was artificial; mutating too fast with an almost █████████████. Now in the shattered remains of archeology spires scavenger communities move. The virus is long dead, burned out but civilization died with it. A few pockets of order remain in the form of the descendants of UN peacekeepers but they are little but dictatorships.
"	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68718949
Tyran	The Starhold of Tyran		Tyran is essentially a gerontocratic council state, the bodies of judiciary, legislature and most of the executive populated by all the oldest in society. A large docile human population is kept protected by their vampiric overlords, kept in luxurious but ultimately confined positions as labor is reserved for disobedient members of the █████ class as well as machines. Dark rumors abound of massive ██████████ full of ████████████ providing the nutritional feedstock necessary to keep the population going, with the ‘free range’ ██████ kept around as a mere ███████. Tyran ground forces are especially light, with the nation’s ‘battalion’ level fighting groups often consisting of two men and support drones and UAVs.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Larnax	Rosenkreuz		"One of the three original governments on Larnax and thus dating to when it was a distant and otherwise unremarkable world, Rosenkreuz was settled by a founding group of east Asian enthusiasts who set out to ambitiously create a historical re-enactment of the Belle Epoque era of European history. This fanciful retrosociety survived the collapse of the UN directorate in the Verge, having become one of the leading patrons of soft sciences, artistic education and decades-long flower feuds.
"	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Larnax	Great Agartha		The second of the three original governments on Larnax (the third being Tantalus), Great Agartha has long maintained social cohesion through performative militarism. Generally seen as just as eccentric as the other states of Larnax, Great Agartha maintains an unexpectedly vast military which it maintains mostly by the expedient of not doing anything with it save regular parades and other celebrations; performative militarism. Technically speaking, everyone in Great Agartha is part of the military and while outsiders often find it a period of adjustment, those who grow up in it equally often point to it as a source of pride and unity.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Larnax	Menkent Republic		The bette noire of Larnax, the Menkent Republic was essentially dropped onto the planet once the full extent of the Larnax Junction became clear as a satellite state of the South American Congressional Union. It was believed that this would keep the weirdo colonials from getting any ideas. Unfortunately being far more tightly tied to Earth and more broadly the UN, the Disconnect struck Menkent hard and it went through an unpleasant series of revolutions and militaristic phases along with several small brushfire wars against seemingly everyone in reach. Despite this, they still maintain a certain degree of cultural snobbishness and consider themselves 'above' the rest of the world.	https://docs.google.com/document/d/1SyNy_jrMg5ZVo1YVteAaaU6ZKizuFPwrMkslWbio_5M/edit#
Sutakure	The Crawler Clans		Post-apocalyptic survivors par-excellence, the Crawler Clans provide the backbone of surviving 'civilized' technic society on Sutakure. Each crawler is a city and factory on wheels, continuously stripmining the shattered planet to produce usable metals for their own uses, or as barter for essentials. The ingots are launched into orbit, where pirates typically handle transactions with outsiders. If threatened, Crawler railguns can be overcharged, transforming this veritable bullion into ship-wrecking ordnance to dissuade extortion.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68590336
Sutakure	The Wildejadg		Rumored to be descendants of labor clones produced illegally on the planet, the Wildejadg are cruel bandits who terrorize the planetary backcountry with heavily-armed technicals. Wildejadg society is noticeably insular and based on a handful of underground facilities in Kedah, with all those encountered reportedly consisting of 'exiles' from their real settlements. Their society is matriarchal and organized into mother-septs, based on matrilineal descent.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68590336
Sutakure	The Buckriders (formerly, Taskforce Occult)		The remains of the local UN garrison, now an embittered para-military force grounded on a dying world, keeping dangerous technology out of the hands of fueding natives. They operate out of a fortress in the Funeral Plains. Nearly all of the historically understrength Taskforce Occult's ships were destroyed, but the Buckriders have spent at least a few decades reconditioning an old Category-C General Mattis with limited tools in a bid to reestablish orbital dominance.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68590336
Sutakure	The Water-Men		New Akaroa's power brokers are village elders and warlords based in the valleys, controlling dripwater from the glaciers as well as significant water filtration facilities that have been built up in the last century. Their fleet of heavily-armed and armored tankers would comprise the equal of a Verge state's hover-panzer corps.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68590336
Sutakure	The Sunken City		Located in Purpurea, the System-3 crustal city was given the fantastic nomen of 'the Sunken' by the surface-dwelling people of the planet due to the fantastic depth at which the settlement typically resides. The last-built of the planet's defense bunkers and the only one to survive the tectonic disruption, it houses industrial facilities that could be the basis of renewed life on the surface. An unfortunate incident early in post-cataclysm history has left them unfortunately mistrustful of outsiders and unwilling to engage surfacers except via proxies.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68590336
Sutakure	The Old King		The Old King is the last powerful independent captain, too late in his career and without good prospects to attempt to crown himself a monarch as Barbarossa I did in Midgard. That possibility falls to his daughter, Elisabet Arnau, who seems far more ambitious but somewhat less able to rein the vassals in through fear and punishment.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68590336
Robin	Robin		Colonized shortly before the Disconnect, Robin's thick atmosphere and mountainous terraces lent itself to high altitude villages, nourished by abundant glaciers. The locals settled with long-term self-sufficiency in mind and produced few exports, only starting to re-orient towards the outside world after recontact by nearby Stavanger. Most economic activity is based on seeding the terraces and valleys with transgenic forests that are harvested sustainably for a boutique export market, with an eye towards eventually producing great redwoods and mangrove trees that can be used to stabilize the humid, rainy lowlands of the planet's limited habitable land. The serene beauty and calm seasons drew a more introspective and less enterprising sort of colonist in early days, with including a permanent hermitage of the Society of Analytical Philosophy, followed by a number of new-age sects and self-improvement movements after the return of space travel.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68667274
Virtue	Virtue		Originally calling their colony 'El Dorado', the local wildcat miners were forced to change the name after being sued by the actual Dorado government when they finally incorporated. What the planet lacked in mineral diversity or a useable biosphere, it made up in sheer abnormal amounts of gold- still a useful component in low-corrosion electronics, particularly in various high-precision alloys. High yearly production and a reliable export market ensured a very low gold price for many long years before Disconnect, eventually drawing the attention of traditional craftsmen from across old Earth. Religious authorities from India and Southeast Asia, as well as the Roman Catholic Church, took it upon themselves to settle local merchants and artisans who could take advantage of cheap prices to produce high-purity gold handiworks for the interstellar faithful.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2749-ic-thread-ending-year-moving-into-year-2.861199/post-68667274
Byron	Lovelace		The strongest 'native' power is a modern technoprogressive city state, inhabited largely by women due to bias among the first colonists and later custom in the creches. The locals learn how to speak binary using vocoding implants.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827501
Byron	Bosphorus Republic		A moderate Neu Istanbul client state that sits on a valuable series of locks and canals that connect many layers and basins of the underground waterways.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827502
Byron	Stanza		A New Istanbul client state, a small city-state that recently endured a palace coup and is now dealing with an oversized population of exiled anti-secularist activists and mercenaries from N.I.. The Autarch of Stanza is an elected, but lifelong dictator who can be voted to death at any time by a majority of his peers.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827503
Byron	Canticle		 A Canaanite client state ruled by a sect of monks who believe that technology must be preserved as a religious rite to endure in a faithless cosmos.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827504
Byron	Sennacherib		  A reclusive, fortified Canaanite client state.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827505
Byron	Foscari		A former ISA mega-prison complex, currently under warlord rule.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827506
Byron	New Athens		A city-state formed by Grecophile poets and philosophers. Initially neo-agrarian, currently revising to a robotic chattel society to sustain luxury and remove the need for proper armed forces.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827507
Byron	Antielginists		Anti-foreign guerillas attempting to reduce the expansion of both the BR and Canticle.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827508
Byron	3306		A faction based entirely in the Deep, researching fauna there.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-68827509
Octagon	Octagon		The Octagon Cartel is one of the largest corporate entities in the Verge, representing an enormous consolidated block with hundreds of subsidiaries. Originally little more than a pirate outfit, large stock of bullion, a few crypto-miners and significantly more ruthless practices than their rivals allowed them to launder their origins and use the confusion of Disconnect to reestablish as a legitimate house of trade. After a generation of conquests, the new Cartel leadership were able administrators who consolidated control and moved the organization to a promising planet with vast growth potential. Octagon, an exotic gas giant with diffuse gravity and a semi-habitable upper atmosphere and several atmosphere-bearing moons, was made their seat of power through years of politicking, buyouts and outright violence.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-69596713
Neue Lichtenstein	Neue Lichtenstein		A sleepy collection of captured asteroids, lashed together with mega-structural struts and enclosed inside of a bubble, the Duchy of Neue Lichtenstein is a minor self-governing state along the inner periphery of the verge. The extended habitat is roughly the size of Iceland in its total surface area, consisting of interlocking spingrav hubs and microgravity homes built into hollowed-out asteroids with a flair towards 18th century central European revivalism that has given the nation the moniker of 'Alps Without Gravity'. The sprawling interior is a finely tuned machine with the spingrav segments counter-rotating precisely to induce minimal stress on the superstructure, a clockwork world inside a bubble. The ruling Duke Albretch von Neue Lichtenstein is an ailing man beloved by his people, with two generations of successors well-integrated into his public image and poised for the limelight, particularly his grand-niece Marisela.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70068024
Don Jaun	Don Diego LLC		A private military company that seized a country-sized hole in the Don Juan League as collateral for a credit default, and become an autonomous corporate extraterritoriality in the ensuing disruptions. Their all-black uniforms feature tidy black masks, foils and capelets on the dress uniforms.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70068024
Don Jaun	Don King		A technocratic enclave, Don King is dedicated seemingly entirely to the advancement of radical sports science. The Academe serves as a locus of all public life, refining youths into complex efficient machines that perform the functions of 'sport' for the entertainment of those who cannot or will not.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70068024
New Cairo	New Cairo		Minor Disrupted World, ORBITAL WARNING: CLASS-E KESSLER SYNDROME New Cairo's origins as a wildcat settlement on an arid, Mars-like world saw it receive little attention as a series of brushfire wars between its controlling city-states saw the nuclear destruction of her overbuilt orbital elevator and decades-long Kessler Syndrome severe enough to disrupt even transmissions to and from the planetary surface. Automated probes built by the Theban Ice Mining Company have continued the work of their long-dead makers, resulting in a steady but traumatic greening of the planet via semi-controlled icefalls and the constant effort of surviving pockets of civilization. New Cairo has seen a thriving civilization arise from the ashes, landlocked but advanced well beyond the technological limitations of their ancestors with a new society, utterly obsessed with cars and high-speed land travel.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70068024
Archaea	The Free Principalities		Large mercantile realms that emphasize financial power, family relations and patronage. Probably the most 'normal' of the bunch but also deeply vicious, greedy and backstabbing in the best of times. Free Principalities territory is nearly all coastal and has some of the best standards of living on the planet.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70318145
Archaea	The Leopardine Empire		After a generation of planetary hegemony, the death of the reigning emperor saw the Leopardine Emperor divided between its scions and satraps. The court has become a chamber in which several kingdoms convene. A little Holy Roman, although the local faiths are mostly Hinduism, Ermine Curia and neo-Nahuatl folk religion and the various kingdoms regularly fight over religious authority. Most people are obligate polytheists but have a "well we won the war so my god's your god's boss" attitude.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70318145
Archaea	The High Countries		Flying palaces of lostech construction house these aristocratic transhumans, who mostly stand above the minor nonsense conflicts of the surface and enjoy the sort of abundance expected of Archea's 'nobility'. Many have wings thanks to genetic engineering by their ancestors, which permit flight in Archea's weak gravity.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70318145
Archaea	The Ermine Curia		Prosperity gospel preacherdoms that began as prosperous personal fiefs, but over the course of the planetary dark ages picked up progressively more retro-catholic elements. The current Pope wears a pinstripe robe and ermine cape, and lives in the orbital elevator, the source of the Curia's power.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70318145
Archaea	The Interseadia		A coalition of high-tech pirates based in the hulls of the planet's many long-lost colony ships. Religious fanatics who believe they were imprisoned on the planet for a terrible sin and that the ocean is a 'false sea', to the 'true sea' of outer space.	https://forums.spacebattles.com/threads/ruins-of-alien-stars-2750-year-3.861199/post-70318145
